Product Name,Category,Subcategory,Form,Millagram,
Flyers,Office,PaperWork,N/A,N/A,
Appointment Cards,Office,PaperWork,N/A,N/A,
Shot Cards,Office,PaperWork,N/A,N/A,
Lab Consent Waiver ,Office,PaperWork,N/A,N/A,
Take home Shot Waiver,Office,PaperWork,N/A,N/A,
Patient Sign In Sheets,Office,PaperWork,N/A,N/A,
SuperBills,Office,PaperWork,N/A,N/A,
Prog Tracking,Office,PaperWork,N/A,N/A,
In house Lipo log,Office,PaperWork,N/A,N/A,
TRZ log ,Office,PaperWork,N/A,N/A,
Sema Log ,Office,PaperWork,N/A,N/A,
Nurses Notes,Office,PaperWork,N/A,N/A,
Bariatric,Office,PaperWork,N/A,N/A,
Follow Up Paperwork,Office,PaperWork,N/A,N/A,
New pt Demographic Single,Office,PaperWork,N/A,N/A,
new pt patient history single,Office,PaperWork,N/A,N/A,
new pt nutrition single ,Office,PaperWork,N/A,N/A,
pt informed consent single,Office,PaperWork,N/A,N/A,
Hippa notice single,Office,PaperWork,N/A,N/A,
signatures consent/hipaa/women single,Office,PaperWork,N/A,N/A,
Inbody Sheets ,Office,PaperWork,N/A,N/A,
Bottled Water,Office,Office Supples,N/A,N/A,
STICKY NOTES,Office,Office Supples,N/A,N/A,
Envelopes,Office,Office Supples,N/A,N/A,
Tape,Office,Office Supples,N/A,N/A,
Manila Folders with fasteners,Office,Office Supples,N/A,N/A,
Copy Paper,Office,Office Supples,N/A,N/A,
Pens,Office,Office Supples,N/A,N/A,
Staples,Office,Office Supples,N/A,N/A,
Paper clips,Office,Office Supples,N/A,N/A,
White Out,Office,Office Supples,N/A,N/A,
Label Maker Refills,Office,Office Supples,N/A,N/A,
Credit Card Machine Paper,Office,Office Supples,N/A,N/A,
Black Sharpies,Office,Office Supples,N/A,N/A,
Highlighters,Office,Office Supples,N/A,N/A,
Printer ink for inbody printers,Office,Office Supples,N/A,N/A,
Batteries,Office,Office Supples,N/A,N/A,
PRINTER INK -get from COPY PRO,Office,Office Supples,N/A,N/A,
Reconciliation Sheets,Office,Office Supples,N/A,N/A,
Nutrition Booklets - Get from Home office,Office,Office Supples,N/A,N/A,
TAKE HOME GLP LABLE PAPER - big lables,Office,Office Supples,N/A,N/A,
INJECTION LABLE PAPER,Office,Office Supples,N/A,N/A,
SEMA TAKE HOME BAGS-EMPTY,Office,Office Supples,N/A,N/A,
LIPO TAKE HOME BAGS - EMPTY,Office,Office Supples,N/A,N/A,
Toilet Paper,Office,Cleaning Supples,N/A,N/A,
Paper Towels,Office,Cleaning Supples,N/A,N/A,
Kleenex,Office,Cleaning Supples,N/A,N/A,
Hand Soap,Office,Cleaning Supples,N/A,N/A,
Hand Sanitizer,Office,Cleaning Supples,N/A,N/A,
Trash Bags (Small),Office,Cleaning Supples,N/A,N/A,
Trash Bags (Large),Office,Cleaning Supples,N/A,N/A,
Clorox Wipes,Office,Cleaning Supples,N/A,N/A,
